,K o t a,P e n u l i s a n J e p a n g,P r e f e k t u r,D i s t r i k,L u a s   W i l a y a h
469,Yosano,与謝野町,Kyoto,Yosa,108.38
470,Shimamoto,島本町,Osaka,Mishima,16.81
471,Toyono,豊能町,Osaka,Toyono,34.34
472,Nose,能勢町,Osaka,Toyono,98.75
473,Tadaoka,忠岡町,Osaka,Senboku,3.97
474,Kumatori,熊取町,Osaka,Sennan,17.24
475,Tajiri,田尻町,Osaka,Sennan,5.62
476,Misaki,岬町,Osaka,Sennan,49.18
477,Taishi,太子町,Osaka,Minamikawachi,14.17
478,Kanan,河南町,Osaka,Minamikawachi,25.26
479,Inagawa,猪名川町,Hyōgo,Kawabe,90.33
480,Taka,多可町,Hyōgo,Taka,185.19
481,Inami,稲美町,Hyōgo,Kako,34.92
482,Harima,播磨町,Hyōgo,Kako,9.13
483,Ichikawa,市川町,Hyōgo,Kanzaki,82.67
484,Fukusaki,福崎町,Hyōgo,Kanzaki,45.79
485,Kamikawa,神河町,Hyōgo,Kanzaki,202.23
486,Taishi,太子町,Hyōgo,Ibo,22.61
487,Kamigōri,上郡町,Hyōgo,Akō,150.26
488,Sayō,佐用,Hyōgo,Sayō,307.44
489,Kami,香美町,Hyōgo,Mikata,368.77
490,Shin'onsen,新温泉町,Hyōgo,Mikata,241.01
491,Heguri,平群町,Nara,Ikoma,23.9
492,Sangō,三郷町,Nara,Ikoma,8.79
493,Ikaruga,斑鳩町,Nara,Ikoma,14.27
494,Ando,安堵町,Nara,Ikoma,4.31
495,Kawanishi,川西町,Nara,Shiki,5.93
496,Miyake,三宅町,Nara,Shiki,4.06
497,Tawaramoto,田原本町,Nara,Shiki,21.09
498,Takatori,高取町,Nara,Takaichi,25.79
499,Kanmaki,上牧町,Nara,Kitakatsuragi,6.14
500,Ōji,王寺町,Nara,Kitakatsuragi,7.01
501,Kōryō,広陵町,Nara,Kitakatsuragi,16.3
502,Kawai,河合町,Nara,Kitakatsuragi,8.23
503,Yoshino,吉野町,Nara,Yoshino,95.65
504,Ōyodo,大淀町,Nara,Yoshino,38.1
505,Shimoichi,下市町,Nara,Yoshino,61.99
506,Kimino,紀美野町,Wakayama,Kaisō,128.34
507,Katsuragi,かつらぎ町,Wakayama,Ito,151.69
508,Kudoyama,九度山町,Wakayama,Ito,44.15
509,Kōya,高野町,Wakayama,Ito,137.03
510,Yuasa,湯浅町,Wakayama,Arida,20.79
511,Hirogawa,広川町,Wakayama,Arida,65.33
512,Aridagawa,有田川町,Wakayama,Arida,351.84
513,Mihama,美浜町,Wakayama,Hidaka,12.77
514,Hidaka,日高町,Wakayama,Hidaka,46.19
515,Yura,由良町,Wakayama,Hidaka,30.94
516,Inami,印南町,Wakayama,Hidaka,113.62
517,Minabe,みなべ町,Wakayama,Hidaka,120.28
518,Hidakagawa,日高川町,Wakayama,Hidaka,331.59
519,Shirahama,白浜町,Wakayama,Nishimuro,200.96
520,Kamitonda,上富田町,Wakayama,Nishimuro,57.37
521,Susami,すさみ町,Wakayama,Nishimuro,174.46
522,Nachikatsuura,那智勝浦町,Wakayama,Higashimuro,183.31
523,Taiji,太地町,Wakayama,Higashimuro,5.81
524,Kozagawa,古座川町,Wakayama,Higashimuro,294.23
525,Iwami,岩美町,Tottori,Iwami,122.32
526,Wakasa,若桜町,Tottori,Yazu,199.18
527,Chizu,智頭町,Tottori,Yazu,224.7
528,Yazu,八頭町,Tottori,Yazu,206.71
529,Misasa,三朝町,Tottori,Tōhaku,233.52
530,Yurihama,湯梨浜町,Tottori,Tōhaku,77.94
531,Kotoura,琴浦町,Tottori,Tōhaku,139.97
532,Hokuei,北栄町,Tottori,Tōhaku,56.94
533,Daisen,大山町,Tottori,Saihaku,189.83
534,Nanbu,南部町,Tottori,Saihaku,114.03
535,Hōki,伯耆町,Tottori,Saihaku,139.44
536,Nichinan,日南町,Tottori,Hino,340.96
537,Hino,日野町,Tottori,Hino,133.98
538,Kōfu,江府町,Tottori,Hino,124.52
539,Okuizumo,奥出雲町,Shimane,Nita,368.01
540,Iinan,飯南町,Shimane,Iishi,242.88
541,Kawamoto,川本町,Shimane,Ōchi,106.43
542,Misato,美郷町,Shimane,Ōchi,282.92
543,Ōnan,邑南町,Shimane,Ōchi,419.29
544,Tsuwano,津和野町,Shimane,Kanoashi,307.03
545,Yoshika,吉賀町,Shimane,Kanoashi,336.5
546,Ama,海士町,Shimane,Oki,33.43
547,Nishinoshima,西ノ島町,Shimane,Oki,55.95
548,Okinoshima,隠岐の島町,Shimane,Oki,242.83
549,Wake,和気町,Okayama,Wake,144.21
550,Hayashima,早島町,Okayama,Tsukubo,7.62
551,Satoshō,里庄町,Okayama,Asakuchi,12.23
552,Yakage,矢掛町,Okayama,Oda,90.62
553,Kagamino,鏡野町,Okayama,Tomata,419.68
554,Shōō,勝央町,Okayama,Katsuta,54.05
555,Nagi,奈義町,Okayama,Katsuta,69.52
556,Kumenan,久米南町,Okayama,Kume,78.65
557,Misaki,美咲町,Okayama,Kume,232.17
558,Kibichūō,吉備中央町,Okayama,Kaga,268.78
559,Fuchū,府中町,Hiroshima,Aki,10.41
560,Kaita,海田町,Hiroshima,Aki,13.79
561,Kumano,熊野町,Hiroshima,Aki,33.76
562,Saka,坂町,Hiroshima,Aki,15.69
563,Kitahiroshima,北広島町,Hiroshima,Yamagata,646.2
564,Akiōta,安芸太田町,Hiroshima,Yamagata,341.89
565,Ōsakikamijima,大崎上島町,Hiroshima,Toyota,43.11
566,Sera,世羅町,Hiroshima,Sera,278.14
567,Jinsekikōgen,神石高原町,Hiroshima,Jinseki,381.98
568,Suōōshima,周防大島町,Yamaguchi,Ōshima,138.09
569,Waki,和木町,Yamaguchi,Kuga,10.58
570,Kaminoseki,上関町,Yamaguchi,Kumage,34.69
571,Tabuse,田布施町,Yamaguchi,Kumage,50.42
572,Hirao,平生町,Yamaguchi,Kumage,34.58
573,Abu,阿武町,Yamaguchi,Abu,115.95
574,Katsuura,勝浦町,Tokushima,Katsuura,69.83
575,Kamikatsu,上勝町,Tokushima,Katsuura,109.63
576,Ishii,石井町,Tokushima,Myōzai,28.85
577,Kamiyama,神山町,Tokushima,Myōzai,173.3
578,Naka,那賀町,Tokushima,Naka,694.98
579,Mugi,牟岐町,Tokushima,Kaifu,56.56
580,Minami,美波町,Tokushima,Kaifu,140.82
581,Kaiyō,海陽町,Tokushima,Kaifu,327.65
582,Matsushige,松茂町,Tokushima,Itano,14.24
583,Kitajima,北島町,Tokushima,Itano,8.74
584,Aizumi,藍住町,Tokushima,Itano,16.27
585,Itano,板野町,Tokushima,Itano,36.22
586,Kamiita,上板町,Tokushima,Itano,34.58
587,Tsurugi,つるぎ町,Tokushima,Mima,194.84
588,Higashimiyoshi,東みよし町,Tokushima,Miyoshi,122.48
589,Tonoshō,土庄町,Kagawa,Shōzu,74.37
590,Shōdoshima,小豆島町,Kagawa,Shōzu,95.59
591,Miki,三木町,Kagawa,Kita,
592,Naoshima,直島町,Kagawa,Kagawa,14.22
593,Utazu,宇多津町,Kagawa,Ayauta,8.1
594,Ayagawa,綾川町,Kagawa,Ayauta,109.75
595,Kotohira,琴平町,Kagawa,Nakatado,8.47
596,Tadotsu,多度津町,Kagawa,Nakatado,24.38
597,Mannō,まんのう町,Kagawa,Nakatado,194.45
598,Kamijima,上島町,Ehime,Ochi,30.38
599,Kumakōgen,久万高原町,Ehime,Kamiukena,583.69
600,Masaki,松前町,Ehime,Iyo,20.41
601,Tobe,砥部町,Ehime,Iyo,101.59
602,Uchiko,内子町,Ehime,Kita,299.43
603,Ikata,伊方町,Ehime,Nishiuwa,93.98
604,Kihoku,鬼北町,Ehime,Kitauwa,241.88
605,Matsuno,松野町,Ehime,Kitauwa,98.45
606,Ainan,愛南町,Ehime,Minamiuwa,238.98
607,Tōyō,東洋町,Kōchi,Aki,74.06
608,Nahari,奈半利町,Kōchi,Aki,28.36
609,Tano,田野町,Kōchi,Aki,6.53
610,Yasuda,安田町,Kōchi,Aki,52.36
611,Motoyama,本山町,Kōchi,Nagaoka,134.22
612,Ōtoyo,大豊町,Kōchi,Nagaoka,315.06
613,Tosa,土佐町,Kōchi,Tosa,212.13
614,Ino,いの町,Kōchi,Agawa,470.97
615,Niyodogawa,仁淀川町,Kōchi,Agawa,333.0
616,Nakatosa,中土佐町,Kōchi,Takaoka,193.28
617,Sakawa,佐川町,Kōchi,Takaoka,100.8
618,Ochi,越知町,Kōchi,Takaoka,111.95
619,Yusuhara,檮原町,Kōchi,Takaoka,236.45
620,Tsuno,津野町,Kōchi,Takaoka,197.85
621,Shimanto,四万十町,Kōchi,Takaoka,642.3
622,Ōtsuki,大月町,Kōchi,Hata,102.94
623,Mihara,三原村,Kōchi,Hata,85.37
624,Kuroshio,黒潮町,Kōchi,Hata,188.58
625,Nakagawa,那珂川町,Fukuoka,Chikushi,74.95
626,Umi,宇美町,Fukuoka,Kasuya,30.21
627,Sasaguri,篠栗町,Fukuoka,Kasuya,38.93
628,Shime,志免町,Fukuoka,Kasuya,8.69
629,Sue,須恵町,Fukuoka,Kasuya,16.31
630,Shingū,新宮町,Fukuoka,Kasuya,18.93
631,Hisayama,久山町,Fukuoka,Kasuya,37.44
632,Kasuya,粕屋町,Fukuoka,Kasuya,14.13
633,Ashiya,芦屋町,Fukuoka,Onga,11.6
634,Mizumaki,水巻町,Fukuoka,Onga,11.01
635,Okagaki,岡垣町,Fukuoka,Onga,48.64
636,Onga,遠賀町,Fukuoka,Onga,22.15
637,Kotake,小竹町,Fukuoka,Kurate,14.18
638,Kurate,鞍手町,Fukuoka,Kurate,35.6
639,Keisen,桂川町,Fukuoka,Kaho,20.14
640,Chikuzen,筑前町,Fukuoka,Asakura,67.1
641,Tachiarai,大刀洗町,Fukuoka,Mii,22.84
642,Ōki,大木町,Fukuoka,Mizuma,18.44
643,Hirokawa,広川町,Fukuoka,Yame,37.94
644,Kawara,香春町,Fukuoka,Tagawa,44.5
645,Soeda,添田町,Fukuoka,Tagawa,132.2
646,Itoda,糸田町,Fukuoka,Tagawa,8.04
647,Kawasaki,川崎町,Fukuoka,Tagawa,36.14
648,Ōtō,大任町,Fukuoka,Tagawa,14.26
649,Fukuchi,福智町,Fukuoka,Tagawa,42.06
650,Kanda,苅田町,Fukuoka,Miyako,48.88
651,Miyako,みやこ町,Fukuoka,Miyako,151.34
652,Yoshitomi,吉富町,Fukuoka,Chikujō,5.73
653,Kōge,上毛町,Fukuoka,Chikujō,62.44
654,Chikujō,築上町,Fukuoka,Chikujō,119.61
655,Yoshinogari,吉野ヶ里町,Saga,Kanzaki,43.99
656,Kiyama,基山町,Saga,Miyaki,22.15
657,Kamimine,上峰町,Saga,Miyaki,12.8
658,Miyaki,みやき町,Saga,Miyaki,51.92
659,Genkai,玄海町,Saga,Higashimatsuura,35.9
660,Arita,有田町,Saga,Nishimatsuura,65.85
661,Ōmachi,大町町,Saga,Kishima,11.5
662,Kōhoku,江北町,Saga,Kishima,24.49
663,Shiroishi,白石町,Saga,Kishima,99.56
664,Tara,太良町,Saga,Fujitsu,74.3
665,Nagayo,長与町,Nagasaki,Nishisonogi,28.73
666,Togitsu,時津町,Nagasaki,Nishisonogi,20.94
667,Higashisonogi,東彼杵町,Nagasaki,Higashisonogi,74.29
668,Kawatana,川棚町,Nagasaki,Higashisonogi,37.34
669,Hasami,波佐見町,Nagasaki,Higashisonogi,56.0
670,Ojika,小値賀町,Nagasaki,Kitamatsuura,25.53
671,Saza,佐々町,Nagasaki,Kitamatsuura,32.27
672,Shinkamigotō,新上五島町,Nagasaki,Minamimatsuura,213.94
673,Misato,美里町,Kumamoto,Shimomashiki,144.0
674,Gyokutō,玉東町,Kumamoto,Tamana,24.33
675,Nankan,南関町,Kumamoto,Tamana,68.92
676,Nagasu,長洲町,Kumamoto,Tamana,19.43
677,Nagomi,和水町,Kumamoto,Tamana,98.78
678,Ōzu,大津町,Kumamoto,Kikuchi,99.1
679,Kikuyō,菊陽町,Kumamoto,Kikuchi,37.46
680,Minamioguni,南小国町,Kumamoto,Aso,115.9
681,Oguni,小国町,Kumamoto,Aso,136.94
682,Takamori,高森町,Kumamoto,Aso,
683,Mifune,御船町,Kumamoto,Kamimashiki,99.03
684,Kashima,嘉島町,Kumamoto,Kamimashiki,16.65
685,Mashiki,益城町,Kumamoto,Kamimashiki,65.68
686,Kōsa,甲佐町,Kumamoto,Kamimashiki,57.93
687,Yamato,山都町,Kumamoto,Kamimashiki,544.67
688,Hikawa,氷川町,Kumamoto,Yatsushiro,33.36
689,Ashikita,芦北町,Kumamoto,Ashikita,233.97
690,Tsunagi,津奈木町,Kumamoto,Ashikita,34.09
691,Nishiki,錦町,Kumamoto,Kuma,85.04
692,Taragi,多良木町,Kumamoto,Kuma,165.86
693,Yunomae,湯前町,Kumamoto,Kuma,48.37
694,Asagiri,あさぎり町,Kumamoto,Kuma,159.56
695,Reihoku,苓北町,Kumamoto,Amakusa,67.55
696,Hiji,日出町,Ōita,Hayami,73.33
697,Kusu,玖珠町,Ōita,Kusu,286.51
698,Kokonoe,九重町,Ōita,Kusu,271.37
699,Mimata,三股町,Miyazaki,Kitamorokata,110.02
700,Takaharu,高原町,Miyazaki,Nishimorokata,85.39
701,Kunitomi,国富町,Miyazaki,Higashimorokata,130.63
702,Aya,綾町,Miyazaki,Higashimorokata,95.19
703,Takanabe,高鍋町,Miyazaki,Koyu,43.8
704,Shintomi,新富町,Miyazaki,Koyu,61.53
705,Kijō,木城町,Miyazaki,Koyu,145.96
706,Kawaminami,川南町,Miyazaki,Koyu,90.12
707,Tsuno,都農町,Miyazaki,Koyu,102.11
708,Kadogawa,門川町,Miyazaki,Higashiusuki,120.51
709,Misato,美郷町,Miyazaki,Higashiusuki,448.84
710,Takachiho,高千穂町,Miyazaki,Nishiusuki,237.54
711,Hinokage,日之影町,Miyazaki,Nishiusuki,277.67
712,Gokase,五ヶ瀬町,Miyazaki,Nishiusuki,171.73
713,Satsuma,さつま町,Kagoshima,Satsuma,303.9
714,Nagashima,長島町,Kagoshima,Izumi,116.12
715,Yūsui,湧水町,Kagoshima,Aira,144.29
716,Ōsaki,大崎町,Kagoshima,Soo,100.67
717,Higashikushira,東串良町,Kagoshima,Kimotsuki,27.78
718,Kinkō,錦江町,Kagoshima,Kimotsuki,163.19
719,Minamiōsumi,南大隅町,Kagoshima,Kimotsuki,213.54
720,Kimotsuki,肝付町,Kagoshima,Kimotsuki,308.1
721,Nakatane,中種子町,Kagoshima,Kumage,137.82
722,Minamitane,南種子町,Kagoshima,Kumage,110.36
723,Yakushima,屋久島町,Kagoshima,Kumage,540.48
724,Setouchi,瀬戸内町,Kagoshima,Ōshima,239.63
725,Tatsugō,龍郷町,Kagoshima,Ōshima,82.01
726,Kikai,喜界町,Kagoshima,Ōshima,56.97
727,Tokunoshima,徳之島町,Kagoshima,Ōshima,104.92
728,Amagi,天城町,Kagoshima,Ōshima,80.4
729,Isen,伊仙町,Kagoshima,Ōshima,62.71
730,Wadomari,和泊町,Kagoshima,Ōshima,40.39
731,China,知名町,Kagoshima,Ōshima,53.3
732,Yoron,与論町,Kagoshima,Ōshima,20.58
733,Motobu,本部町,Okinawa,Kunigami,54.33
734,Kin,金武町,Okinawa,Kunigami,37.84
735,Kadena,嘉手納町,Okinawa,Nakagami,15.12
736,Chatan,北谷町,Okinawa,Nakagami,13.93
737,Nishihara,西原町,Okinawa,Nakagami,15.9
738,Yonabaru,与那原町,Okinawa,Shimajiri,5.18
739,Haebaru,南風原町,Okinawa,Shimajiri,10.76
740,Kumejima,久米島町,Okinawa,Shimajiri,63.65
741,Yaese,八重瀬町,Okinawa,Shimajiri,26.96
742,Taketomi,竹富町,Okinawa,Yaeyama,334.39
743,Yonaguni,与那国町,Okinawa,Yaeyama,28.96
