,N a m a,G a m b a r,L o k a s i,T a n g g a l   d i t e t a p k a n   s e b a g a i   T a m a n   N a s i o n a l [ 7 ] [ 1 2 ],L u a s   a r e a   ( 2 0 2 1 ) [ 1 3 ],P e n g u n j u n g   R e k r e a s i   ( 2 0 2 1 ) [ 1 4 ],D e s k r i p s i
52,Sequoia,,California36°26′N 118°41′W﻿ / ﻿36.43°N 118.68°W,"September 25, 1890","404,06263 ekar (1,6 km2)",1059548,"Taman ini melindungi Hutan Raksasa, yang memiliki beberapa pohon terbesar di dunia, Jenderal Sherman menjadi pohon terukur terbesar di taman. Fitur lain termasuk lebih dari 240 gua, segmen panjang Sierra Nevada termasuk gunung tertinggi di Amerika Serikat yang berdekatan, dan Moro Rock, kubah granit besar.[106] (BR)[81]"
53,Shenandoah,,Virginia38°32′N 78°21′W﻿ / ﻿38.53°N 78.35°W,"December 26, 1935","200,19209 ekar (0,8 km2)",1592312,"Pegunungan Blue Ridge Shenandoah ditutupi oleh hutan kayu keras yang dipenuhi dengan berbagai macam satwa liar. Skyline Drive dan Appalachian Trail membentang di sepanjang taman sempit ini, bersama dengan lebih dari 500 mil (800 km) jalur hiking yang melewati pemandangan indah dan katarak Sungai Shenandoah.[107]"
54,Theodore Roosevelt,,North Dakota46°58′N 103°27′W﻿ / ﻿46.97°N 103.45°W,"November 10, 1978","70,44689 ekar (0,3 km2)",796085,"Wilayah yang memikat dan mempengaruhi Presiden Theodore Roosevelt ini terdiri dari taman tiga unit di tanah tandus utara. Selain kabin Roosevelt yang bersejarah, ada banyak jalan-jalan indah dan kesempatan hiking di pedalaman. Satwa liar termasuk bison Amerika, pronghorn, domba bighorn, dan kuda liar.[108]"
55,Virgin Islands,,U.S. Virgin Islands18°20′N 64°44′W﻿ / ﻿18.33°N 64.73°W,"August 2, 1956","15,05233 ekar (0,1 km2)",323999,"Taman pulau di Saint John ini melestarikan pantai murni yang dikelilingi oleh hutan bakau, padang lamun, dan terumbu karang. Ini juga memiliki situs arkeologi Taíno dan reruntuhan perkebunan gula dari zaman Columbus.[109]"
56,Voyageurs,,Minnesota48°30′N 92°53′W﻿ / ﻿48.50°N 92.88°W,"April 8, 1975","218,22235 ekar (0,9 km2)",243042,"Taman yang melindungi empat danau di dekat perbatasan Kanada-AS ini adalah tempat untuk berkano, berkayak, dan memancing. Taman ini juga melestarikan sejarah yang dihuni oleh penduduk asli Amerika Ojibwe, pedagang bulu Prancis yang disebut voyageurs, dan penambang emas. Dibentuk oleh gletser, wilayah ini memiliki tebing tinggi, taman batu, pulau, teluk, dan beberapa bangunan bersejarah.[110]"
57,White Sands,,New Mexico32°47′N 106°10′W﻿ / ﻿32.78°N 106.17°W,"December 20, 2019[111]","146,34431 ekar (0,6 km2)",782469,"Terletak di Cekungan Tularosa yang dikelilingi gunung, White Sands terdiri dari bagian selatan dari 275-mil-persegi (710 km2) bidang bukit pasir putih yang terdiri dari kristal gipsum—padang pasir gipsum terbesar di dunia. Taman ini sepenuhnya berada di dalam White Sands Missile Range dan akan ditutup saat pengujian dilakukan.[112]"
58,Wind Cave,,South Dakota43°34′N 103°29′W﻿ / ﻿43.57°N 103.48°W,"January 9, 1903","33,97084 ekar (0,1 km2)",709001,"Gua Angin khas karena formasi sirip kalsitnya yang disebut boxwork, formasi unik yang jarang ditemukan di tempat lain, dan pertumbuhan seperti jarum yang disebut frostwork. Ini adalah salah satu gua terpanjang di dunia dan menciptakan angin saat tekanan udara berubah. Di atas tanah adalah padang rumput campuran dengan hewan seperti bison, musang kaki hitam, dan anjing padang rumput dan hutan pinus ponderosa rumah bagi puma dan elk.[113] Gua secara budaya penting bagi orang-orang Lakota sebagai situs penciptaan.[114]"
59,Wrangell–St. Elias *,,Alaska61°00′N 142°00′W﻿ / ﻿61.00°N 142.00°W,"December 2, 1980",[convert: invalid number],50189,"Taman nasional terbesar dalam sistem melindungi konvergensi Alaska, Chugach, Wrangell, dan Saint Elias Ranges, yang mencakup banyak gunung dan gunung berapi tertinggi di benua itu, termasuk Gunung Saint Elias setinggi 18.008 kaki. Lebih dari seperempat taman ditutupi dengan gletser, termasuk Gletser Hubbard air pasang, Gletser piedmont Malaspina, dan Gletser lembah Nabesna.[115] (WHS)[54]"
60,Yellowstone,,"Wyoming, Montana, Idaho44°36′N 110°30′W﻿ / ﻿44.60°N 110.50°W","March 1, 1872",[convert: invalid number],4860242,"Terletak di Kaldera Yellowstone, taman ini memiliki jaringan luas area panas bumi termasuk pot lumpur mendidih, mata air panas berwarna cerah seperti Grand Prismatic Spring, dan geyser yang meletus secara teratur, yang paling terkenal adalah Old Faithful. Grand Canyon dari Yellowstone River yang berwarna kuning berisi beberapa air terjun yang tinggi, dan empat pegunungan melintasi taman. Lebih dari 60 spesies mamalia termasuk serigala kayu, beruang grizzly, beruang hitam, lynx, bison, dan elk menjadikan taman ini salah satu tempat melihat satwa liar terbaik di negara ini.[116] (WHS)[117] (BR)[118]"
61,Yosemite *,,California37°50′N 119°30′W﻿ / ﻿37.83°N 119.50°W,"October 1, 1890","761,74750 ekar (3,1 km2)",3287595,"Yosemite memiliki tebing granit terjal, air terjun yang sangat tinggi, dan hutan tua di persimpangan geologi dan hidrologi yang unik. Half Dome dan El Capitan muncul dari pusat taman, Lembah Yosemite yang dipahat gletser, dan dari dinding vertikalnya turun Air Terjun Yosemite, salah satu air terjun tertinggi di Amerika Utara dengan ketinggian 2.425 kaki (739 m). Tiga hutan sequoia raksasa, bersama dengan hutan belantara yang masih asli di jantung Sierra Nevada, adalah rumah bagi berbagai spesies tumbuhan dan hewan langka.[119] (WHS)[120]"
62,Zion,,Utah37°18′N 113°03′W﻿ / ﻿37.30°N 113.05°W,"November 19, 1919","147,24266 ekar (0,6 km2)",5039835,"Terletak di persimpangan Dataran Tinggi Colorado, Great Basin, dan Gurun Mojave, taman ini berisi fitur batu pasir seperti mesas, menara batu, dan ngarai, termasuk Virgin River Narrows. Berbagai formasi batu pasir dan percabangan Sungai Virgin menciptakan hutan belantara yang dibagi menjadi empat ekosistem: gurun, riparian, hutan, dan hutan konifer.[121]"
